"구분(1)",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"구분(1)",배출원대분류 합계,에너지산업 연소,비산업 연소,제조업 연소,생산공정,도로이동오염원,비도로이동오염원,폐기물처리,기타 면오염원,비산먼지,생물성 연소
"전국",87618262,2812889,856667,27117870,5139009,6181609,15989455,228153,539425,17271554,11481630
"서울특별시",2732309,10821,135345,865,-,321279,931516,8796,32405,1180136,111146
"부산광역시",2522829,49709,40193,64671,7056,196071,1398339,5224,20546,668698,72322
"대구광역시",1334774,34829,30344,197704,211,212680,321334,10424,7584,426663,93001
"인천광역시",2548097,293835,31263,12629,101926,215443,858278,7338,8515,912712,106157
"광주광역시",603759,2678,15675,2280,94,88836,151987,1763,4639,273013,62794
"대전광역시",569382,2574,17695,3935,122,126131,120149,4479,5029,222780,66488
"울산광역시",2185188,82020,21582,400646,653283,122669,551624,61224,4216,212931,74992
"세종특별자치시",306104,16138,1986,1702,226,40557,70174,2951,1136,112425,58810
"경기도",9879709,398300,145836,305742,25389,1516383,2243111,34184,55757,3586990,1568017
"강원도",4152589,162022,51821,496216,89476,296151,597785,2899,305162,824327,1326728
"충청북도",3469202,1333,39373,497407,61097,412628,325691,13686,9164,930491,1178332
"충청남도",15314161,973598,48777,9236640,1026822,507248,966572,9570,12404,1447532,1084999
"전라북도",3626605,66382,44454,25749,57687,351726,680023,22009,12162,1319612,1046801
"전라남도",11204663,220932,85600,4578215,1730028,347593,1524540,12712,15827,1642864,1046353
"경상북도",18559790,19259,78098,11023853,1360913,734331,1058980,10938,23118,1760393,2489907
"경상남도",4330751,461660,56135,269544,24639,590893,634764,16362,18428,1305375,952949
"제주특별자치도",990538,16799,12489,72,38,100990,266778,3594,3332,444611,141834
"바다",3287811,-,-,-,-,-,3287811,-,-,-,-
